OID_,Latitude,Longitude,Altitude_ft_asl,Aerosol_Type,Altitude_km_AGL
185,46.940936105581606,-115.767058329637322,4.810000000000000,5,3.3002808
186,46.943879838712434,-115.768182497582345,4.810000000000000,5,3.3265498
187,46.946823201488307,-115.769304986171178,4.810000000000000,5,3.3889122
188,46.949766296642601,-115.770425729784847,4.810000000000000,5,3.3393631
189,46.952709226908745,-115.771544662804445,4.810000000000000,5,3.3506141
190,46.955652095020142,-115.772661719610994,4.810000000000000,5,3.2389438
191,46.958595003710180,-115.773776834585490,4.810000000000000,5,3.0781977
192,46.961538055712239,-115.774889942108956,4.810000000000000,5,3.0864661
193,46.964481353759766,-115.776000976562486,4.810000000000000,5,3.1044078
194,46.967424989767281,-115.777109935786655,4.810000000000000,5,3.1367774
195,46.970369012374050,-115.778217071460645,4.810000000000000,5,3.2964535
196,46.973313459400437,-115.779322698723107,4.810000000000000,5,3.2884443
197,46.976258368666812,-115.780427132712802,4.810000000000000,5,3.3010294
198,46.979203777993597,-115.781530688568495,4.810000000000000,5,3.4492903
199,46.982149725201182,-115.782633681428919,4.810000000000000,5,3.4394886
200,46.985096248109919,-115.783736426432711,4.810000000000000,5,3.2590318
201,46.988043384540198,-115.784839238718632,4.810000000000000,5,3.1246586
202,46.990991172312441,-115.785942433425490,4.810000000000000,5,3.1028287
203,46.993939649247004,-115.787046325691890,4.810000000000000,5,3.1104999
204,46.996888853164279,-115.788151230656624,4.810000000000000,5,3.1280987
205,46.999838821884680,-115.789257463458455,4.810000000000000,5,3.2461472
206,47.002789593228563,-115.790365339236033,4.810000000000000,5,3.3785279
207,47.005741205016321,-115.791475173128106,4.810000000000000,5,3.3959816
208,47.008693695068366,-115.792587280273452,4.810000000000000,5,3.1880660
209,47.011647071780580,-115.793701893673713,4.810000000000000,5,3.1717656
210,47.014601225851152,-115.794818917782649,4.810000000000000,5,3.0771754
211,47.017556018553734,-115.795938174916841,4.810000000000000,5,2.9184251
212,47.020511311161982,-115.797059487392971,4.810000000000000,5,2.8661561
213,47.023466964949620,-115.798182677527748,4.810000000000000,5,2.9226911
214,47.026422841190310,-115.799307567637825,4.810000000000000,5,2.8501318
215,47.029378801157698,-115.800433980039799,4.810000000000000,5,2.8425829
216,47.032334706125511,-115.801561737050434,4.810000000000000,5,2.7910085
217,47.035290417367399,-115.802690660986315,4.810000000000000,5,2.7955308
218,47.038245796157028,-115.803820574164121,4.810000000000000,5,2.8263600
219,47.041200703768105,-115.804951298900548,4.810000000000000,5,2.9196882
220,47.044155001474323,-115.806082657512263,4.810000000000000,5,2.9473751
221,47.047108550549304,-115.807214472315920,4.810000000000000,5,3.0476270
222,47.050061212266762,-115.808346565628113,4.810000000000000,5,3.1344814
223,47.053012847900391,-115.809478759765625,4.810000000000000,5,3.2296011
224,47.055963356818012,-115.810610911556196,4.810000000000000,5,3.3691173
225,47.058912790764289,-115.811743015872409,4.810000000000000,5,3.3834753
226,47.061861239578000,-115.812875102097863,4.810000000000000,5,3.4617324
227,47.064808793097932,-115.814007199616285,4.810000000000000,5,3.5260472
228,47.067755541162938,-115.815139337811360,4.810000000000000,5,3.5355210
229,47.070701573611821,-115.816271546066773,4.810000000000000,5,3.6111476
230,47.073646980283343,-115.817403853766137,4.810000000000000,5,3.6261759
231,47.076591851016332,-115.818536290293224,2.260000000000000,3,1.0211142
232,47.079536275649609,-115.819668885031646,2.260000000000000,3,1.0139683
233,47.082480344021953,-115.820801667365075,2.260000000000000,3,0.9935536
234,47.085424145972183,-115.821934666677251,2.260000000000000,3,1.0376996
235,47.088367771339122,-115.823067912351831,2.260000000000000,3,1.0671841
236,47.091311309961554,-115.824201433772473,2.260000000000000,3,1.0673317
237,47.094254851678272,-115.825335260322845,2.260000000000000,3,1.0170585
238,47.097198486328132,-115.826469421386690,2.260000000000000,3,0.9806696
239,47.100142292695352,-115.827603946953957,2.260000000000000,3,0.9480877
240,47.103086305346245,-115.828738869440258,2.260000000000000,3,0.8743353
241,47.106030547792486,-115.829874221867428,2.260000000000000,3,0.7337109
242,47.108975043545804,-115.831010037257343,2.260000000000000,3,0.5485610
243,47.111919816117947,-115.832146348631909,2.260000000000000,3,0.4803245
244,47.114864889020630,-115.833283189013031,2.260000000000000,3,0.5084436
245,47.117810285765550,-115.834420591422528,2.260000000000000,3,0.5936755
246,47.120756029864459,-115.835558588882336,2.260000000000000,3,0.7122535
247,47.123702144829096,-115.836697214414357,2.260000000000000,3,0.7803297
248,47.126648654171127,-115.837836501040385,2.260000000000000,3,0.7861431
249,47.129595581402313,-115.838976481782382,2.260000000000000,3,0.7983475
250,47.132542950034406,-115.840117189662266,2.260000000000000,3,0.7632563
251,47.135490783579080,-115.841258657701843,2.260000000000000,3,0.7235215
252,47.138439105548066,-115.842400918922991,2.260000000000000,3,0.5895389
253,47.141387939453125,-115.843544006347670,2.260000000000000,3,0.6360080
254,47.144337291193914,-115.844687925103287,2.260000000000000,3,0.7103966
255,47.147287096222044,-115.845832568739837,2.260000000000000,3,0.8364052
256,47.150237272377055,-115.846977802912761,2.260000000000000,3,0.8824551
257,47.153187737498506,-115.848123493277626,2.260000000000000,3,0.8762095
258,47.156138409425978,-115.849269505489971,2.260000000000000,3,0.9689603
259,47.159089205999038,-115.850415705205293,2.260000000000000,3,0.9588194
260,47.162040045057203,-115.851561958079060,2.260000000000000,3,1.1351380
261,47.164990844440069,-115.852708129766867,2.260000000000000,3,1.2430084
262,47.167941521987174,-115.853854085924226,2.260000000000000,3,1.2156521
263,47.170891995538085,-115.854999692206562,2.260000000000000,3,1.1623687
264,47.173842182932361,-115.856144814269527,2.260000000000000,3,1.0648041
265,47.176792002009584,-115.857289317768618,2.260000000000000,3,1.1992199
266,47.179741370609285,-115.858433068359261,2.260000000000000,3,1.1940211
267,47.182690206571024,-115.859575931697037,2.260000000000000,3,1.2281444
268,47.185638427734382,-115.860717773437514,2.260000000000000,3,1.1201012
269,47.188585980318308,-115.861858484305984,2.260000000000000,3,1.0911974
270,47.191532924059580,-115.862998055307457,2.260000000000000,3,1.0329185
271,47.194479347074299,-115.864136502516629,2.260000000000000,3,1.0415546
272,47.197425337478627,-115.865273842008335,2.260000000000000,3,1.1031058
273,47.200370983388730,-115.866410089857354,2.260000000000000,3,1.0355986
274,47.203316372920753,-115.867545262138549,2.260000000000000,3,1.0014520
275,47.206261594190806,-115.868679374926558,2.260000000000000,3,1.0358144
276,47.209206735315085,-115.869812444296258,2.260000000000000,3,1.0235610
277,47.212151884409721,-115.870944486322443,2.260000000000000,3,1.0376606
278,47.215097129590852,-115.872075517079807,2.260000000000000,3,1.0229839
279,47.218042558974638,-115.873205552643242,2.260000000000000,3,1.0721264
280,47.220988260677260,-115.874334609087541,2.260000000000000,3,1.0334634
281,47.223934322814813,-115.875462702487397,2.260000000000000,3,1.1366183
282,47.226880833503458,-115.876589848917632,2.260000000000000,3,1.0704128
283,47.229827880859375,-115.877716064453097,2.260000000000000,3,1.0888094
